network_path,random_seed,suitability_thresh,exposure_delay,kernel,kernel_parameters,alpha_S,alpha_L,alpha_LD,start_month,number_of_time_steps,number_of_simulations,seeding,interventions,interventions_type,time_step,accumulated_probabilities,infections_mean,infections_std,infections_min,infections_25_per,infections_50_per,infections_75_per,infections_max,filename,network,node_count,input_code
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I12-B1.csv,none,24,197.03,197.03,4.432330713694044,182.0,196.0,198.0,199.0,204.0,../work/sim_summaries/BD1_S100_I1-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I12-B2.csv,none,24,197.03,197.03,4.432330713694044,182.0,196.0,198.0,199.0,204.0,../work/sim_summaries/BD1_S100_I1-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I12-B3.csv,none,24,196.49000000000004,196.49,4.887615766279903,180.0,195.0,198.0,199.0,204.0,../work/sim_summaries/BD1_S100_I1-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I12-B4.csv,none,24,196.49000000000004,196.49,4.887615766279903,180.0,195.0,198.0,199.0,204.0,../work/sim_summaries/BD1_S100_I1-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I18-B1.csv,none,24,203.48000000000005,203.48,0.6273239621880815,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I18-B2.csv,none,24,203.47000000000003,203.47,0.6428314889862842,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I18-B3.csv,none,24,203.47000000000003,203.47,0.6428314889862842,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I18-B4.csv,none,24,203.47000000000003,203.47,0.6428314889862842,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I1-B1.csv,none,24,87.99999999999999,88.0,49.633200032383016,8.0,15.0,109.5,124.25,144.0,../work/sim_summaries/BD1_S100_I18-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I1-B2.csv,none,24,14.28,14.28,2.574466699702832,8.0,13.0,14.0,16.0,20.0,../work/sim_summaries/BD1_S100_I18-B2_summary.csv,BD,211,
