input_code,num_sims,budget,delay,budget_used,lp_budget,obj_value,lp_obj_value,gm_value,lp_runtime,lp_work,input_file,int_filename,network
ID3_S100_0,100,4,18,16,4.0,547.53,540.8482638885669,7,20.082056999206543,14.684263954890012,../work/dags/ID3_S100_0_dag.csv,../work/interventions/ID3_S100_0/comp_I18-B4.csv,ID
ID4_S100_0,100,4,18,15,3.999999999999999,442.04,437.2019742061036,7,15.510375022888184,14.658962193611446,../work/dags/ID4_S100_0_dag.csv,../work/interventions/ID4_S100_0/comp_I18-B4.csv,ID
ID1_S100_0,100,7,18,23,6.999999999999999,364.65,360.18608333315353,7,7.539161920547485,6.204109712804147,../work/dags/ID1_S100_0_dag.csv,../work/interventions/ID1_S100_0/comp_I18-B7.csv,ID
ID2_S100_0,100,7,18,23,7.000000000000001,317.29,315.1138273808106,7,6.145689010620117,5.483120902573563,../work/dags/ID2_S100_0_dag.csv,../work/interventions/ID2_S100_0/comp_I18-B7.csv,ID
ID3_S100_0,100,7,18,25,7.000000000000001,512.62,509.2798888885831,7,14.83370304107666,11.308998129945332,../work/dags/ID3_S100_0_dag.csv,../work/interventions/ID3_S100_0/comp_I18-B7.csv,ID
ID4_S100_0,100,7,18,26,7.0,415.86,413.0758333331111,7,11.374515056610107,10.60566972543009,../work/dags/ID4_S100_0_dag.csv,../work/interventions/ID4_S100_0/comp_I18-B7.csv,ID
ID1_S100_0,100,10,18,28,10.000000000000002,354.7,352.4256249998242,7,7.032550096511841,6.563639267610899,../work/dags/ID1_S100_0_dag.csv,../work/interventions/ID1_S100_0/comp_I18-B10.csv,ID
ID2_S100_0,100,10,18,28,9.999999999999996,311.64,310.2068666665292,7,6.119094133377075,8.7221483860739,../work/dags/ID2_S100_0_dag.csv,../work/interventions/ID2_S100_0/comp_I18-B10.csv,ID
ID3_S100_0,100,10,18,29,9.999999999999998,497.51,489.1501249996973,7,16.181649923324585,12.073820715292308,../work/dags/ID3_S100_0_dag.csv,../work/interventions/ID3_S100_0/comp_I18-B10.csv,ID
ID4_S100_0,100,10,18,29,10.0,405.79,399.5503333331147,7,11.03703999519348,9.81833503862087,../work/dags/ID4_S100_0_dag.csv,../work/interventions/ID4_S100_0/comp_I18-B10.csv,ID
ID1_S100_0,100,16,18,32,16.000000000000004,346.8,344.9042619045926,7,7.94660496711731,5.994806248990772,../work/dags/ID1_S100_0_dag.csv,../work/interventions/ID1_S100_0/comp_I18-B16.csv,ID
ID2_S100_0,100,16,18,29,16.000000000000007,306.28,305.3899999998667,7,5.628126859664917,5.297198732483545,../work/dags/ID2_S100_0_dag.csv,../work/interventions/ID2_S100_0/comp_I18-B16.csv,ID
ID3_S100_0,100,16,18,31,15.999999999999998,476.74,469.62349999971406,7,15.576462030410768,11.692511436686036,../work/dags/ID3_S100_0_dag.csv,../work/interventions/ID3_S100_0/comp_I18-B16.csv,ID
ID4_S100_0,100,16,18,32,16.0,388.83,386.8884880950315,7,12.81128215789795,13.580718457000492,../work/dags/ID4_S100_0_dag.csv,../work/interventions/ID4_S100_0/comp_I18-B16.csv,ID
PH1_S100_0,100,1,1,2,1.0,5.84,7.093749999999878,6,29.269370079040527,16.484327375672045,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I1-B1.csv,PH
PH2_S100_0,100,1,1,2,1.0,5.61,6.617896825396777,6,19.030547857284542,9.610833743964031,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I1-B1.csv,PH
PH3_S100_0,100,1,1,4,1.0000000000000002,13.03,12.501181404379937,6,116.00878500938416,79.19107554761666,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I1-B1.csv,PH
PH4_S100_0,100,1,1,4,1.0000000000000002,13.03,12.501181404379937,6,98.79576992988586,79.19107554761666,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I1-B1.csv,PH
PH1_S100_0,100,3,1,4,3.0000000000000004,5.01,5.009999999999938,6,18.484818935394287,9.731161800424896,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I1-B3.csv,PH
PH2_S100_0,100,3,1,4,3.0,5.02,5.009999999999938,6,12.74387788772583,6.826202881894799,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I1-B3.csv,PH
PH3_S100_0,100,3,1,10,3.0000000000000004,5.16,5.210888888888825,6,92.4100410938263,60.13566349106622,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I1-B3.csv,PH
PH4_S100_0,100,3,1,10,3.0000000000000004,5.16,5.210888888888825,6,89.81544995307922,60.13566349106622,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I1-B3.csv,PH
PH1_S100_0,100,5,1,5,5.0,5.0,4.999999999999938,6,13.96860408782959,7.30494390268492,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I1-B5.csv,PH
PH2_S100_0,100,5,1,4,4.0,5.0,4.999999999999938,6,8.434608936309814,4.413761985463808,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I1-B5.csv,PH
PH3_S100_0,100,5,1,9,4.999999999999999,5.12,5.069999999999936,6,51.38118290901184,34.666086477558096,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I1-B5.csv,PH
PH4_S100_0,100,5,1,9,4.999999999999999,5.12,5.069999999999936,6,57.10717010498047,34.666086477558096,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I1-B5.csv,PH
PH1_S100_0,100,7,1,4,4.0,5.0,4.999999999999938,6,9.903316974639893,5.751351685113961,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I1-B7.csv,PH
PH2_S100_0,100,7,1,7,7.0,5.0,4.999999999999938,6,6.87586784362793,3.3885004542350594,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I1-B7.csv,PH
PH3_S100_0,100,7,1,9,7.0,5.03,5.02333333333327,6,37.2818329334259,26.686876589057324,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I1-B7.csv,PH
PH4_S100_0,100,7,1,9,7.0,5.03,5.02333333333327,6,44.27566289901733,26.686876589057324,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I1-B7.csv,PH
PH1_S100_0,100,9,1,9,9.0,5.0,4.999999999999938,6,9.621930837631226,5.535561118239753,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I1-B9.csv,PH
PH2_S100_0,100,9,1,5,5.0,5.0,4.999999999999938,6,5.849270820617676,3.25712298617807,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I1-B9.csv,PH
PH3_S100_0,100,9,1,9,9.0,5.0,4.999999999999938,6,32.5138578414917,21.376478560395377,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I1-B9.csv,PH
PH4_S100_0,100,9,1,9,9.0,5.0,4.999999999999938,6,38.68311405181885,21.376478560395377,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I1-B9.csv,PH
PH1_S100_0,100,1,3,4,1.0,14.58,17.2694805194803,6,7.505860090255737,5.032312396350632,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I3-B1.csv,PH
PH2_S100_0,100,1,3,4,1.0,15.59,13.930922619047536,6,6.593204021453857,4.416208095614443,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I3-B1.csv,PH
PH3_S100_0,100,1,3,4,1.0,33.31,32.216949206349824,6,17.017173051834106,9.98911071761638,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I3-B1.csv,PH
PH4_S100_0,100,1,3,4,1.0,33.31,32.216949206349824,6,16.955487966537476,9.98911071761638,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I3-B1.csv,PH
PH1_S100_0,100,3,3,11,3.0,10.5,10.57513739103257,6,4.881424903869629,9.07016144614262,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I3-B3.csv,PH
PH2_S100_0,100,3,3,12,3.0,9.16,9.252276911976768,6,1.7048921585083008,2.3743054767936767,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I3-B3.csv,PH
