input_code,num_sims,budget,delay,budget_used,lp_budget,obj_value,lp_obj_value,gm_value,lp_runtime,lp_work,input_file,int_filename,network
BD1_S100_0,100,1,1,1,1.0,49.92,63.24324200913211,5,306.56370997428894,198.4608655840132,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I1-B1.csv,BD
BD2_S100_0,100,1,1,1,1.0,52.98,61.90087606837687,5,298.2642798423767,208.60349900617533,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I1-B1.csv,BD
BD3_S100_0,100,1,1,1,1.0,113.24,98.5107755101998,5,411.5926058292389,289.8539433047928,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I1-B1.csv,BD
BD4_S100_0,100,1,1,1,1.0000000000000002,112.92,97.2584107945976,5,458.14500880241394,331.435303619284,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I1-B1.csv,BD
BD1_S100_0,100,2,1,4,2.0,9.65,12.82518750000003,5,970.3981499671936,208.98587293627867,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I1-B2.csv,BD
BD2_S100_0,100,2,1,4,2.0,9.5,12.517375000000046,5,810.8465328216553,191.5399417018438,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I1-B2.csv,BD
BD3_S100_0,100,2,1,4,2.0,32.71,30.801304347826918,5,378.34717297554016,491.6540765129468,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I1-B2.csv,BD
BD4_S100_0,100,2,1,4,2.0,33.64,30.002772727272696,5,297.6749379634857,393.6057018566788,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I1-B2.csv,BD
BD1_S100_0,100,3,1,5,3.0,5.43,4.896666666666607,5,377.2037229537964,251.33027473997225,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I1-B3.csv,BD
BD2_S100_0,100,3,1,5,3.0000000000000004,5.43,4.83666666666661,5,452.58021903038025,260.20170374860083,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I1-B3.csv,BD
BD3_S100_0,100,3,1,5,3.0,13.8,12.093333333333549,5,91.98368000984192,110.21541034891337,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I1-B3.csv,BD
BD4_S100_0,100,3,1,5,3.0,13.8,11.870000000000186,5,95.80347418785097,118.17106828278452,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I1-B3.csv,BD
BD1_S100_0,100,4,1,5,4.0,3.19,2.5949999999999847,5,299.03412199020386,125.41543318607668,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I1-B4.csv,BD
BD2_S100_0,100,4,1,5,4.0,3.19,2.5949999999999847,5,528.8197870254517,128.5214655114597,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I1-B4.csv,BD
BD3_S100_0,100,4,1,5,4.0,6.68,4.33999999999994,5,51.97678399085999,54.24487801170834,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I1-B4.csv,BD
BD4_S100_0,100,4,1,5,4.0,6.68,4.33999999999994,5,53.45088291168213,50.23324615808581,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I1-B4.csv,BD
BD1_S100_0,100,1,3,1,1.0,130.72,112.42025000000356,5,162.08853697776794,132.53259806081206,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I3-B1.csv,BD
BD2_S100_0,100,1,3,1,1.0000000000000002,128.96,111.07602564102883,5,207.72444105148315,159.1544723701953,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I3-B1.csv,BD
BD3_S100_0,100,1,3,2,1.0,164.96,143.31499999999855,5,981.3835990428925,384.56930844785,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I3-B1.csv,BD
BD4_S100_0,100,1,3,2,1.0,163.07,142.24607142857397,5,492.61895394325256,378.2484296713484,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I3-B1.csv,BD
BD1_S100_0,100,2,3,4,2.0,36.8,56.37399999999924,5,162.98067498207092,91.98002490947955,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I3-B2.csv,BD
BD2_S100_0,100,2,3,4,2.0000000000000004,35.96,55.39166666666577,5,190.0430700778961,91.03060896659964,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I3-B2.csv,BD
BD3_S100_0,100,2,3,5,2.0,98.58,97.59749999998796,5,196.2409121990204,151.4019948858926,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I3-B2.csv,BD
BD4_S100_0,100,2,3,4,2.0,95.95,96.29532258063352,5,212.98824000358584,146.25316726740877,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I3-B2.csv,BD
BD1_S100_0,100,3,3,7,3.0000000000000004,30.29,28.441666666666624,5,84.66099286079407,108.31308459512098,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I3-B3.csv,BD
BD2_S100_0,100,3,3,7,3.0000000000000004,30.08,28.08333333333327,5,78.41659903526306,95.5257858397927,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I3-B3.csv,BD
BD3_S100_0,100,3,3,7,3.0,70.69,63.97916666666372,5,395.6507670879364,170.38486417768908,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I3-B3.csv,BD
BD4_S100_0,100,3,3,7,3.0,69.91,62.97666666666402,5,424.3689742088318,459.0494973903539,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I3-B3.csv,BD
BD1_S100_0,100,4,3,7,4.0,21.49,19.375000000000213,5,46.39771699905396,46.21506720326798,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I3-B4.csv,BD
BD2_S100_0,100,4,3,7,4.0,21.36,19.310000000000205,5,42.74643802642822,43.15363424137425,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I3-B4.csv,BD
BD3_S100_0,100,4,3,7,4.0,50.33,43.94500000000036,5,176.05012488365173,147.68192761436822,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I3-B4.csv,BD
BD4_S100_0,100,4,3,7,4.0,49.8,43.68000000000031,5,86.30743789672852,87.13566963069393,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I3-B4.csv,BD
BD1_S100_0,100,1,6,2,1.0,172.88,155.14285714284537,5,171.75475192070007,143.8124372422437,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I6-B1.csv,BD
BD2_S100_0,100,1,6,3,1.0,158.27,153.8203571428464,5,196.77469897270203,158.31677845750178,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I6-B1.csv,BD
BD3_S100_0,100,1,6,2,1.0,194.34,180.3152631578789,5,228.30046200752255,213.4382660898489,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I6-B1.csv,BD
BD4_S100_0,100,1,6,0,1.0,192.98,179.0286486486302,5,313.1732771396637,230.89121562998864,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I6-B1.csv,BD
BD1_S100_0,100,2,6,5,2.0,141.54,127.11000000001393,5,144.30130696296692,107.80840212890752,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I6-B2.csv,BD
BD2_S100_0,100,2,6,5,2.0,139.42,125.46750000001371,5,185.91064596176147,120.94783520009284,../work/dags/BD2_S100_0_dag.csv,../work/interventions/BD2_S100_0/comp_I6-B2.csv,BD
BD3_S100_0,100,2,6,4,2.0,161.91,161.63099999998974,5,178.05287504196167,153.36085885853467,../work/dags/BD3_S100_0_dag.csv,../work/interventions/BD3_S100_0/comp_I6-B2.csv,BD
BD4_S100_0,100,2,6,4,2.0,160.06,159.84266666665792,5,216.46881985664368,180.42362921159733,../work/dags/BD4_S100_0_dag.csv,../work/interventions/BD4_S100_0/comp_I6-B2.csv,BD
BD1_S100_0,100,3,6,6,3.0,128.26,109.73000000001066,5,85.47982978820801,70.49676906403856,../work/dags/BD1_S100_0_dag.csv,../work/interventions/BD1_S100_0/comp_I6-B3.csv,BD
