node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
656275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656278,0.0,0.01,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.31,0.08,0.01,0.01,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
656279,0.0,0.1,0.0,0.0,0.0,0.45,0.07,0.01,0.0,0.3,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
656280,0.0,0.12,0.0,0.0,0.0,0.61,0.01,0.0,0.01,0.2,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
656281,0.0,0.15,0.0,0.0,0.0,0.58,0.02,0.01,0.0,0.2,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656282,0.0,0.15,0.0,0.0,0.0,0.62,0.01,0.0,0.0,0.16,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656283,0.0,0.08,0.0,0.0,0.0,0.66,0.02,0.01,0.0,0.13,0.02,0.01,0.0,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656284,0.0,0.16,0.0,0.0,0.0,0.46,0.02,0.0,0.02,0.19,0.03,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
656285,0.0,0.03,0.0,0.0,0.0,0.34,0.01,0.0,0.01,0.36,0.06,0.01,0.02,0.07,0.04,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
657716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657718,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.37,0.06,0.03,0.01,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
657719,0.0,0.19,0.0,0.0,0.0,0.37,0.03,0.01,0.01,0.33,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657720,0.0,0.14,0.0,0.0,0.0,0.58,0.0,0.0,0.02,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
657721,0.0,0.14,0.0,0.0,0.0,0.58,0.03,0.0,0.01,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
657722,0.0,0.19,0.0,0.0,0.0,0.51,0.0,0.01,0.01,0.19,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
657723,0.0,0.14,0.0,0.0,0.0,0.56,0.01,0.02,0.0,0.17,0.02,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
657724,0.0,0.14,0.0,0.0,0.0,0.47,0.02,0.0,0.0,0.21,0.04,0.02,0.02,0.03,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
