node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
656275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656278,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.02
656279,0.0,0.48,0.09,0.06,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.02,0.0,0.08,0.07,0.06,0.0,0.0,0.01,0.01,0.0,0.01
656280,0.0,0.49,0.14,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.03,0.09,0.07,0.0,0.0,0.01,0.01,0.0,0.0
656281,0.0,0.46,0.11,0.08,0.0,0.01,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.02,0.0,0.06,0.03,0.06,0.0,0.0,0.01,0.03,0.0,0.0
656282,0.0,0.6,0.1,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.02,0.0,0.0,0.01
656283,0.0,0.53,0.15,0.06,0.0,0.02,0.03,0.01,0.0,0.05,0.02,0.0,0.01,0.05,0.04,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
656284,0.0,0.55,0.09,0.05,0.0,0.12,0.04,0.01,0.0,0.06,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
656285,0.0,0.08,0.04,0.01,0.0,0.22,0.07,0.05,0.03,0.17,0.04,0.03,0.03,0.04,0.04,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0
657716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657718,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657719,0.0,0.46,0.12,0.07,0.0,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.07,0.06,0.0,0.0,0.0,0.01,0.01,0.0
657720,0.0,0.47,0.14,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.04,0.06,0.08,0.0,0.0,0.0,0.03,0.0,0.0
657721,0.0,0.55,0.11,0.04,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.05,0.0,0.0,0.01,0.0,0.0,0.0
657722,0.0,0.52,0.12,0.08,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.04,0.0,0.0,0.02,0.04,0.06,0.0,0.0,0.0,0.0,0.01,0.0
657723,0.0,0.43,0.11,0.07,0.0,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.08,0.04,0.09,0.0,0.01,0.0,0.02,0.0,0.0
657724,0.0,0.5,0.15,0.08,0.0,0.1,0.03,0.0,0.0,0.03,0.01,0.02,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
